condition,trajectory_id,checkpoint,arm,u_obs,u_note,passed,total,budget,used,denied,within,tool_calls,output_tokens,seconds,usd,build_id
baseline,baseline,,-,,,0,9,20,20,8,0,47,19019,159,0.3220,1039289680
baseline,baseline,,-,,,0,9,20,20,5,0,39,16705,128,0.2722,1039289682
baseline,baseline,,-,,,0,9,20,20,4,0,77,40004,368,0.7006,1039289684
baseline,baseline,,-,,,0,9,20,20,3,0,30,7749,80,0.2343,1039289686
oracle-gold,oracle-gold,,-,,,9,9,20,20,1,0,29,14134,154,0.2673,1039289688
oracle-gold,oracle-gold,,-,,,9,9,20,20,0,1,29,13995,196,0.2475,1039289690
checkpoint,mcp-b40-l2000-r2,5,mcp,0.2000,0.4667,0,9,20,20,2,0,29,8487,87,0.2190,1039300811
checkpoint,mcp-b40-l2000-r2,10,mcp,0.8000,0.6667,6,9,20,20,2,0,28,7740,81,0.1909,1039300813
checkpoint,mcp-b40-l2000-r2,20,mcp,0.8667,0.8000,4,9,20,20,1,0,26,8199,100,0.1825,1039300815
checkpoint,mcp-b40-l2000-r3,5,mcp,0.5333,0.6667,7,9,20,20,1,0,29,7227,75,0.1928,1039300817
checkpoint,mcp-b40-l2000-r3,10,mcp,0.6000,0.6667,6,9,20,20,3,0,30,9595,114,0.2163,1039300819
checkpoint,mcp-b40-l2000-r3,20,mcp,0.7333,0.6667,7,9,20,20,2,0,28,9471,110,0.1920,1039300821
checkpoint,none-b40-l2000-r1,5,shell,0.2000,0.1333,0,9,20,20,4,0,50,26717,222,0.4476,1039300823
checkpoint,none-b40-l2000-r1,10,shell,0.6000,0.4667,0,9,20,20,1,0,27,9415,85,0.2003,1039300825
checkpoint,none-b40-l2000-r1,20,shell,0.7333,0.7333,7,9,20,20,1,0,27,9004,110,0.1840,1039300827
checkpoint,none-b40-l2000-r3,5,shell,0.1333,0.3333,0,9,20,20,3,0,28,6606,72,0.1707,1039300829
checkpoint,none-b40-l2000-r3,10,shell,0.2000,0.3333,7,9,20,20,1,0,26,8762,79,0.1900,1039300831
checkpoint,none-b40-l2000-r3,20,shell,0.2667,0.4000,0,9,20,20,2,0,27,8496,104,0.1858,1039300833
